id,text
20255700,"Of the last Queen of Caria,
Rennala of the Full Moon."
20255800,"And the majesty of the night
she conjureth."
20260000,I dreamt for so long.
20260100,"My flesh was dull gold...and my blood, rotted."
20260200,"Corpse after corpse, left in my wake..."
20260300,As I awaited...his return.
20260400,...Heed my words.
20260500,"I am Malenia.
Blade of Miquella."
20260600,And I have never known defeat.
20265000,Sweet Tarnished...
20265010,Dearest companion...
20265100,Did you not heed my warning?
20265200,Your greed knows no end.
20265300,You would steal the last drop of warmth from his empty frame?
20265310,"After all you've taken, you still want more?"
20265400,Then you will have to kill me.
20265500,"I am Malenia, Sword of Miquella."
20265600,And I have never known defeat.
20270000,"My dear twin, accept this gift."
20270100,"A gift of abundance, my last drop of dew."
20270200,"Let all things flourish,"
20270300,"whether graceful, or malign."
20275000,Wait.
20275100,The scarlet bloom flowers once more.
20275200,You will witness true horror.
20275300,"Now, rot!"
20290000,"Farewell, then."
20290100,May your visit be fruitful.
20300000,Hmm...
20300100,Very well.
20300200,You...
20300300,"A fitting sacrifice you shall be, for the Serpent King."
20300310,"Join the Serpent King, as family..."
20300400,And devour the gods with me!
20300410,"Together, we will devour the very gods!"
20390000,
20390100,
20390200,
20390300,
20390400,
20391000,General Radahn is cursed ever to wander.
20391010,"Before we begin, allow me to paint you the full picture."
20391100,"Eaten from the inside, by Malenia's scarlet rot, his wits are long gone."
20391200,"Now he gathers the corpses of former friends and foes alike, gorging on them, like a dog."
20391300,Howling at the sky.
20430000,"O Erdtree, you shall burn."
20430100,"Burn, for the sake of the new Lord."
20430200,Thank you. For guiding me here.
20430300,"The one who walks alongside flame,"
20430400,Shall one day meet the road of Destined Death.
20430500,Good-bye.
20430600,I hope you will become Lord. Lord of each and all.
20450000,Aaargh! Aargh!
20450100,<guttural moan>
20450200,Nngghaa!
20450300,Argh!
20450400,<great howl>
20480000,"Now wilt ye serve, each and all."
20480010,The Elden Lord is crowned.
20480100,"The new Elden Lord,
steward of a fracturing world."
20480110,And so beginneth the age of fracture...
20481000,The fallen leaves tell a story.
20481100,"Of how a Tarnished, of no renown, became Elden Lord."
20482000,The fallen leaves tell a story.
20482100,Of how a Tarnished became Elden Lord.
20482200,"In our home, across the fog, the Lands Between."
20483000,"Our seed will look back upon us, and recall."
20483100,An Age of Fracture.
20484000,"Our seed will look back upon us, and recall."
20484100,The Age of Order.
20484150,The Age Absolute.
20485000,"Our seed will look back upon us, and recall."
20485100,The Age of the Duskborn
20486000,"Our seed will look back upon us, and recall."
20486100,The reviled curse that defined our age.
20486200,The Blessing of Despair.
20490000,"...The battle is over, I see."
20490100,I do solemnly swear.
20490200,"To every living being, and every living soul."
20490300,Now cometh the age of the stars.
20490400,"A thousand year voyage
under the wisdom of the Moon."
20490500,"Here beginneth the chill night that encompasses all, reaching the great beyond."
20490600,"Into fear, doubt, and loneliness..."
20490700,As the path stretcheth into darkness...
20490800,Well then. Shall we?
20490900,"My fair consort, eternal."
20495000,"...The battle is over, I see."
20495010,"...All matters are settled, then."
20495100,I do solemnly swear.
20495200,To all the hearts that remain in thy thrall.
20495210,"To all life, and the souls harboured therein."
20495300,Now comes the age of the mind.
20495400,"A thousand year voyage,
governed by the wisdom of the Moon."
20495500,"All shall be encompassed, in a still and silent night, unending.
And thought shall turn to fear,"
20495600,"emptiness, life..."
20495700,And a path stretching into the darkness...
20495850,"Let us go, together."
20495950,"My dear consort, eternal."
20500000,Lord of Frenzied Flame...
20500110,"I will seek you, as far as you may travel..."
20500200,To deliver you what is yours.
20500300,Destined Death.
20540000,"Young seedling, young seedling."
20540100,Return to the bosom of earth.
20540200,"But remember well,"
20540300,Thou'rt mine.
20540400,So shall I give of myself. This is for thee.
20540500,"Mine abundance, my drop of dew."
20540600,"Quench thy thirst, throughout thy frame."
20540700,"Blossom and burgeon, time and again."
20540800,"Grow larger, stronger."
20540900,Until the day cometh.
20541000,When thou canst share in my dream.
20541100,"Elden Ring, O Elden Ring."
20541200,"Beget Order most elegant, from my tender reverie."
20560000,"If thou covetest the throne,"
20560100,Impress my vision upon thine heart.
20560200,"In the new world of thy making,"
20560300,"all things will flourish,"
20560400,"whether graceful, or malign."
20580000,Greetings.
20580100,Traveller from beyond the Fog.
20580200,I am Melina.
20580300,I offer you an accord.
20640000,And one other. Whom grace would again bless.
20640100,A Tarnished of no renown.
20640200,"Cross the fog, to the Lands Between."
20640300,to stand before the Elden Ring.
20640400,And become the Elden Lord.
20700000,The Rune of Death is unbound.
20700100,"Black flames have devoured the Erdtree,"
20700110,and the Lands Between are shrouded by Death's dark fate.
20700200,But the flames will also burn the impenetrable thorns.
20700300,"Farewell it is, then."
20700400,"You'll be Elden Lord, yet."
20730000,"Well, if you really are that gullible..."
20730010,Ngh!
20730100,then stay away from the Volcano Manor!
20730200,Bye now!
20730300,Take care!
20750100,"Lord host, I could not be more content."
20750200,"I found knowledge, and then found someone. That someone was you."
20750300,"And now, inside you, here I am..."
20770000,Well well well?
20770100,"I should have known, you scheming little thief."
20770200,The gods demand vengeance. Vengeance!
20780000,He he he he he...
20780100,My sincerest gratitude. I thought I'd never wrench that thing open.
20780200,You're the finest customer a man ever had!
20830000,
20830100,"This is how you die, you disgusting Tarnished."
20830200,"Don't worry, I've got big plans for you. After you snuff it..."
20840000,
20840100,
20840200,
20850000,<screaming>
20850100,
20850200,
20860000,<screaming>
20860100,
20860200,(explained above)
20860300,Unleash it upon them! A cursed blessing to all!
20860400,(scream of pain)
100010000,Have you heard of the Finger Maidens?
100010010,"They serve the Two Fingers, offering guidance, and aid, to the Tarnished."
100010020,"But you, I am afraid, are maidenless."
100010030,I can play the role of maiden.
100010040,Turning runes into strength.
100010050,To aid you in your search for the Elden Ring.
100010060,You need only take me with you.
100010070,To the foot of the Erdtree.
100011000,Then it's settled.
100011010,Summon me by grace to turn runes into strength.
100011020,"Ahh, another matter."
100011030,I bequeath to you this ring.
100011040,Use it to traverse great distances.
100011050,It will summon a spectral steed named Torrent.
100011060,Torrent has chosen you.
100011070,Treat him with respect.
100012000,I understand. I'm asking you to put faith in but a stranger.
100012010,Yet I'm certain that we can reach an understanding.
100012020,Summon me by grace if you should reconsider.
100013000,Have you reconsidered my offer?
100020000,Shall I turn your runes to strength?
100020010,"Let my hand rest upon you, for but a moment."
100021000,
100022000,Phew. It is done.
100030000,This tiny golden aura is the grace of the Erdtree.
100030010,This light once shone in the eyes of your Tarnished brethren.
100030020,But now it is all that guides you. Or so I hear.
100030030,"You can see them, can't you?"
100030040,"The rays of grace, that guide you through your burden."
100031000,Me?
100031010,I'm searching.
100031020,"For my purpose, given to me by my mother inside the Erdtree, long ago."
100031030,"For the reason that I yet live, burned and bodiless."
100031040,There is something for which I must apologise.
100031050,"I've acted the Finger Maiden, yet can offer no guidance."
100031060,I am no maiden. My purpose…was long ago lost.
100032000,"Upon the cliff, in Castle Stormveil, is a shardbearer."
100032010,A demigod who inherited a fragment of the shattered Elden Ring.
100032020,"If the rays of grace signal the castle,"
100032030,then the Elden Ring beckons you.
100032040,"As an ally by pact,"
100032050,...I pray that you are fit...
100032060,To face the challenge presented by the Ring.
100040000,Spoken echoes linger here.
100040010,"Words of Queen Marika, who vanished long ago."
100040020,"If you wish, I will share them with you."
100041000,Very well. In Marika's own words.
100041010,"My Lord, and thy warriors. I divest each of thee of thy grace."
100041020,"With thine eyes dimmed, ye will be driven from the Lands Between."
100041030,"Ye will wage war in a land afar, where ye will live, and die."
100041040,Well? Perhaps that might serve you in lieu of a maiden's guidance.
100042000,Of course. Perhaps there is no need.
100042010,Tell me if you should change your mind.
100043000,"Spoken echoes of Queen Marika linger here, as well."
100043010,Shall I share them with you?
100044000,In Marika's own words.
100044010,"Then, after thy death, I will give back what I once claimed."
100044020,"Return to the Lands Between, wage war, and brandish the Elden Ring."
100044030,Grow strong in the face of death. Warriors of my lord. Lord Godfrey.
100045000,In Marika's own words.
100045010,The Erdtree governs all. The choice is thine.
100045020,Become one with the Order. Or divest thyself of it.
100045030,To wallow at the fringes; a powerless upstart.
100101000,In Marika's own words.
100101010,"Hear me, Demigods. My children beloved."
100101020,Make of thyselves that which ye desire. Be it a Lord. Be it a God.
100101030,"But should ye fail to become aught at all, ye will be forsaken."
100101040,Amounting only to sacrifices...
100102000,In Marika's own words.
100102010,"O Radagon, leal hound of the Golden Order."
100102020,Thou'rt yet to become me. Thou'rt yet to become a god.
100102030,"Let us be shattered, both. Mine other self."
100103000,In Marika's own words.
100103010,"I declare mine intent, to search the depths of the Golden Order."
100103020,"Through understanding of the proper way, our faith, our grace, is increased."
100103030,Those blissful early days of blind belief are long past.
100103040,My comrades; why must ye falter?
100104000,In Marika's own words.
100104010,"Hark, brave warriors. Hark, my lord Godfrey. We commend your deeds."
100104020,"Guidance hath delivered ye through each ordeal, to the place ye stand."
100104030,"Put the Giants to the sword, and confine the flame atop the mount."
100104040,Let a new epoch begin. An epoch glistening with life.
100104050,"Brandish the Elden Ring, for the Age of the Erdtree!"
100105000,Forgive me. I've been...testing you.
100105010,To see whether or not grace truly does guide you.
100105020,And...whether you are fit to face the challenge that entails.
100105030,It seems my worries were unfounded.
100105040,Torrent had your measure from the very start.
100105050,Whereas I merely pretended.
100105060,There is but one other thing I can do to offer you guidance.
100105070,I can take you to the Roundtable Hold...
100105080,"Gathering place of Tarnished champions, guided by Grace..."
100106000,Very well.
100106010,"Let my hand rest upon you, for but a moment."
100107000,Forgive me. I've been...testing you.
100107010,To determine if the Elden Ring would truly have you.
100107020,If you had the mettle to endure this long and arduous path.
100107030,It seems my worries were unfounded.
100107040,Torrent had your measure from the very start.
100107050,Whereas I merely pretended.
100107060,There is but one other thing I can do to offer you guidance.
100107070,I can take you to the Roundtable Hold...
100107080,"Gathering place of Tarnished champions, guided by Grace..."
100110000,"Your seamster, Boc..."
100110010,He is always eager to see your return.
100110020,"Please, will you talk to him, when you can?"
100110030,I'm sure he would be much contented.
100111000,"Your seamster, Boc..."
100111010,"I see him crying, from time to time."
100111020,I think he misses his mother.
100111030,He wants someone to tell him he's beautiful.
100111040,Does being born of a mother...
100111050,Mean one behaves in such a manner?
100120000,...
100120010,Is there...another person inside of you?
100120020,Did you...want that to happen?
100120030,I sense no malice. Do as you think best.
100120040,"Hello, other you."
100120050,"I am Melina, and I have an accord with this person."
100120060,We might be together for some time.
100120070,Pleased to meet you.
100121000,...
100121010,Is there...another person inside of you?
100121020,Did you...want that to happen?
100121030,I sense no malice. Do as you think best.
100121040,"Hello, other you."
100121050,"I am Melina, and I am travelling with this person."
100121060,We might be together for some time.
100121070,Pleased to meet you.
100130000,The Erdtree...is close.
100130010,"Only a little further till the foot of the Erdtree, and the accord is fulfilled."
100130020,It takes me back.
100130030,I was born at the foot of the Erdtree.
100130040,Where mother gave me my purpose.
100130050,"Though now, everything is lost to me."
100130060,I...have to ascertain for myself.
100130070,"The reason for which I live, burned and bodiless."
100131000,My utmost thanks.
100131010,For bringing me to the base of the Erdtree.
100131020,"Here, I can govern my own movement."
100131030,"And thus, the accord is fulfilled."
100131040,I shall depart to ascertain the purpose I was given.
100131050,Farewell.
100131060,"I shall leave Torrent, and the power to turn runes into strength, here with you."
100131070,"I wish you luck, in realising your ambition."
100131080,You have fought long and hard.
100131090,I have no doubt you will become Elden Lord. May you take the throne.
100140000,"Hello again, old friend."
100140010,"It's me, Melina. Your travelling companion."
100140020,Allow me a moment to converse with you.
100140030,"You were unable to enter the Erdtree, no?"
100140040,Prevented by the mantle of barbs.
100140050,The thorns are impenetrable.
100140060,A husk of the Erdtree's being; that spurns all that exists without.
100140070,The only way to stand before the Elden Ring...
100140080,and become the Elden Lord...is to pass the thorns.
100140090,My purpose serves to aid in that very act.
100140100,"So I'd like you to undertake a new journey, with me."
100140110,"To the flame of ruin, far above the clouds, upon the snowy mountaintops of the giants."
100140120,Then I can set the Erdtree aflame.
100140130,And guide you. Down the path to becoming Elden Lord.
100141000,I wish to journey with you once more.
100141010,"To the flame of ruin, far above the clouds, upon the snowy mountaintops of the giants."
100141020,Then I can set the Erdtree aflame.
100141030,And guide you. Down the path to becoming Elden Lord.
100150000,"Think not, of the kindling."
100150010,I shall see to that.
100150020,All I ask of you is to make the journey.
100150030,"To the snowy mountaintops of the giants, far above the clouds."
100150040,I know...
100150050,I'm asking you to commit a cardinal sin.
100150060,But it must be done to reach the path beyond.
100150070,And that is the path I wish to travel.
100150080,What is your mind?
100160000,There is something I'd like to say.
100160010,My purpose was given to me by my mother.
100160020,"But now, I act of my own volition."
100160030,I have set my heart upon the world that I would have.
100160040,Regardless of my mother's designs.
100160050,I won't allow anyone to speak ill of that.
100160060,Not even you.
100170000,We're almost there.
100170010,The flame of ruin lies just ahead.
100170020,I'm glad it was you I travelled with.
100170030,"I must tender my thanks to Torrent, too."
100170040,"Thank you, Torrent."
100170050,Please continue to lend your aid. Till the end.
100171000,I have long observed the Lands Between.
100171010,This world is in dire need of repair...
100171020,and Death...indiscriminate...
100171030,Are you prepared...
100171040,To commit a cardinal sin?
100172000,Very well.
100172010,"Let my hand rest upon you, for but a moment."
100173000,Very well.
100173010,"Tell me, when you are fully prepared."
100174000,Are you ready to commit a cardinal sin?
100180000,"If you intend to claim the frenzied flame,"
100180010,I ask that you cease.
100180020,It is not to be meddled with.
100180030,"It is chaos, devouring life and thought unending."
100180040,"However ruined this world has become, however mired in torment and despair..."
100180050,Life endures. Births continue.
100180060,"There is beauty in that, is there not?"
100180070,"If you would become Lord, do not deny this notion."
100180080,"Please, leave the frenzied flame alone."
100181000,I shall see to the kindling.
100181010,It is a purpose which I choose to fulfil.
100181020,"So, please... Leave the frenzied flame alone."
100182000,The frenzied flame is not to be meddled with.
100182010,"It is chaos, devouring life and thought unending."
100182020,"So, please... Leave the frenzied flame alone."
100185000,"I ask you, one more time."
100185010,"Please, seek not the frenzied flame."
100185020,"As one who strives to become a Lord,"
100185030,"deny not the lives, the new births of this world."
100185040,Those who would are not fit to be called Lord.
100185050,When the land they preside over is lifeless.
100186000,"Please, put a stop to this madness."
100186010,The Lord of Frenzied Flame is no lord at all.
100186020,When the land they preside over is lifeless.
100190000,You...have inherited the frenzied flame.
100190010,A pity. You are no longer fit.
100190020,Our accord ends here.
100190030,But remember...
100190040,"Should you rise, as the Lord of Chaos,"
100190050,"I will kill you, as sure as night follows day."
100190060,"Such is my duty, for allowing you the strength of runes."
100190070,"Goodbye, my companion."
100190080,"Goodbye, Torrent..."
100191000,You...have inherited the frenzied flame.
100191010,A pity. You are no longer fit.
100191020,Our journey together ends here.
100191030,And remember...
100191040,"Should you rise as the Lord of Chaos,"
100191050,"I will kill you, as sure as night follows day."
100191060,"Such is my duty, for allowing you the strength of runes."
100191070,"Goodbye, my companion."
100191080,"Goodbye, Torrent..."
100900000,
100900010,
100900020,
101001000,"You, please, I can read them."
101001010,"Your fingers, please, your fingers..."
101002000,"Oh, bless you."
101002010,Oh..ohh!
101002020,"Within the fog, a gaping hole. Beyond the fog, one cursed by blood."
101002030,"Below the surface, traces of those who lurk in the shadows."
101002040,"In the east, the east. Should you desire…"
101003000,"Oh, bless you."
101003010,Oh..ohh!
101003020,...
101003030,"Heavens, how can this be!"
101003040,A dreadful sign! Truly dreadful!
101003050,"You will face wrath, then madness, and finally, chaos."
101003060,Turn back.
101003070,This is a path you must forsake.
101003080,Dread awaits you in the south. Blackest dread!
101010000,Dragon slayer...
101010010,"Ohhh, dragon slayer..."
101010020,You unfeeling barbarian.
101010030,Planning to feast? On dragon?
101010040,At an abandoned church on that wee isle.
101010050,You would devour the heart of an ancient?
101010060,"You wretched, undeserving brute!"
101050000,"Oh, bless you."
101050010,Oh..ohh!
101050020,"Head to the foundation of gold, Tarnished..."
101050030,"Traverse Raya Lucaria; ""Glintstone Eventide""…"
101050040,"…and reunite the half crescents, at the Grand Lift."
101050050,"Oh, but the bridge is collapsed, and cannot be crossed."
101050060,"Only, why should that matter!"
101050070,Stormveil Castle still stands tall!
101060000,"Oh, bless you."
101060010,Oh..ohh!
101060020,...
101060030,Miquella's favour can be yours…
101060040,"Slaughter, slaughter, slaughter... The all-hearing slaughtered, but alas, it was for naught."
101060050,"But all you need do, is snatch it from the big pot."
101060060,...
101060070,"Pity the poor, poor fool!"
101070000,"Oh, bless you."
101070010,Oh..ohh!
101070020,...
101070030,…Are you one for festivals? Or flowers?
101070040,"To the South, a grand festival to make the stars turn."
101070050,"To the East, the hardened bud of a flower to be."
101070060,But dare you enter?
101070070,Into the heart of the scarlet rot?
101070080,Ah...ahhh...
101080000,"What a pity it is, to be without the right."
101080010,"All you can do is stand, at a loss."
101080020,Without even the half crescents that wish to be whole.
101080030,"Before the unmoving, unfeeling Grand Lift ahead."
101080040,...
101080050,"Or, are you planning to throw yourself to the waters?"
101080060,"To find the coward's passage, through the dim cavern?"
101080070,"What a pity it is, to be without the right."
101081000,"Oh, bless you..."
101081010,Bless you...
101081020,...
101081030,You. The one who holds both half crescents.
101081040,Take the path to the Grand Lift ahead.
101081050,For you...are the one who will be Lord.
101081060,...
101081070,"Bear witness, one and all! The Lord is returned!"
101081080,The Elden Lord is come again!
101090000,"Oh, bless you..."
101090010,Oh..ohh!
101090020,...
101090030,To the east...ruins of gold. To the west...the serpent's sacrilege.
101090040,"Wherever the path leads, so shall you follow."
101090050,"Wherever the path leads, only more sorrow."
101090060,Tis a curse! A curse! The curse of Queen Marika!
101090070,Ah...ahh... Ha...ha...
101100000,The Fingers I served once prophesied...
101100010,A Tarnished would one day become Elden Lord and restore the Golden Order.
101100020,...
101100030,"Surely you see it, too?"
101100040,The gold that enshrouds the heavens. The great tree which begets the pillars of light.
101100050,"O Tarnished, hasten to the foot of the tree."
101100060,...
101100070,And whatever you might face...
101100080,The Fingers will surely guide you...
101110000,Turn back.
101110010,Ahead lies the Land of the Giants' Flame.
101110020,And the way forth is forbidden.
101110030,...
101110040,Hear me. The burning of the Erdtree is the first cardinal sin.
101110050,"Doing so will unbind Destined Death, and slay the world itself."
101110060,...
101110070,Who would dare put you up to such a task?
101110080,Most certainly not the Fingers!
101120000,Ohh...
101120010,"Oh, Lord Godwyn..."
101120020,"Such cruelty, such humiliation..."
101120030,"My poor, sweet lordling should have died a true death."
101120040,As the first of the demigods to die.
101120050,As a martyr to Destined Death.
101120060,But why must it yet bring such disgrace?
101120070,"A scion of the golden bough, sentenced to live in Death..."
101120080,How could such a thing come to be...
101120090,<sobbing>
101121000,Ohh...
101121010,"Oh, Lord Godwyn..."
101121020,"My poor, sweet lordling should have died a true death."
101121030,"A scion of the golden bough, sentenced to live in Death..."
101121040,How could such a thing come to be...
101121050,<sobbing>
101800000,"Ha, ha, ha!"
101801000,A curse! A curse upon you!
101801010,Your path leads only to death!
101802000,You godless brute.
101802010,You'll soil your hands soon enough.
101802020,With mortal sin!
102001000,Are you that new Tarnished?
102001010,"You've done well. I am Enia, the Finger Reader."
102001020,"I interpret the words of the Fingers, envoys to the Greater Will."
102001030,"Look there. The Fingers tremble. To welcome you, shardbearer."
102001040,Let their wisdom wash over you.
102001050,"""Great Elden Ring, root of the Golden Order."""
102001060,"""Anchor of all lands, giver of grace, wellspring of all joy."""
102001070,"""Until it was shattered."""
102001080,"""The tragic corruption of the Order has taken its toll."""
102001090,"""Across the realm, life lies in ruin. Fallen to pieces."""
102001100,"""Foul curses and misery spread, unabating."""
102001110,"""But the Greater Will has not abandoned the realm, nor the life that inhabits it."""
102001120,"""So it is that the Tarnished are guided by grace. Called to act."""
102001130,"""Brave Tarnished, your Great Rune is a handsome shard of the Elden Ring."""
102001140,"""Seek another of its kind."""
102001150,"""To become Elden Lord, and restore the Golden Order."""
102001170,Let the words of the Fingers guide you.
102002000,"Ahh, Great Runes are the stuff of demigods;"
